md	title
clif/01-representation.md	クリフォード代数の構造と表現
clif/02-split-complex.md	分解型複素数の冪等元と直和分解
hopf/01-quaternion.md	四元数からの生成
hopf/02-spinor-tensor.md	スピノルのテンソル積
hopf/03-bloch-density.md	ブロッホ球と密度行列
hopf/04-extension.md	四元数・八元数への拡張
lebesgue/01-measure-integral.md	測度とルベーグ積分
lebesgue/02-l2-hilbert.md	L²空間とヒルベルト空間
lebesgue/03-probability.md	測度論的確率論
lebesgue/04-brownian-ito.md	ブラウン運動と伊藤の補題
lebesgue/05-black-scholes.md	ブラック＝ショールズ方程式
lebesgue/06-nelson-stochastic-qm.md	ネルソンの確率過程量子化
lie/01-u1-so2.md	複素数とSO(2)
lie/02-su2-so3.md	四元数とSU(2)
lie/03-spin.md	クリフォード代数とSpin(3)
lie/04-su3.md	SO(3)の複素化とSU(3)
oct/01-octonion.md	八元数の基本事項
oct/02-7d-3rot.md	単位八元数による7次元三重回転
oct/03-oct-left-mul.md	八元数の左作用とクリフォード代数
qua/01-pauli-qua.md	パウリ行列と四元数：双四元数による橋渡し
qua/02-nonion.md	シルベスターの九元数 (nonion)
qua/03-qua-tensor.md	四元数のテンソル積とクリフォード代数の構成
qua/04-4d-bsqua.md	4次元回転と双四元数：SO(4)とSpin(4)
qua/cd/bcmp-qua.md	ケイリー＝ディクソン構成の分岐点：双複素数と四元数
qua/cd/grok45.md	複素数の行列表現から四元数へ：発見法的な導出
qua/cd/memo.md	元になったツイートスレッド
vec-oct/01-reflection.md	鏡映：ベクトルから八元数まで
vec-oct/02-rotation.md	回転：ベクトルから八元数まで
